section,step,protocol,subject,fold,tail_balanced_acc,best_balanced_acc,last_balanced_acc,final_train_acc,status,env,source_log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",5.0,4.0,0.4793,0.5607,0.4702,0.9869,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",6.0,0.0,0.3355,0.4357,0.3476,0.987,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",6.0,1.0,0.2956,0.3607,0.2774,0.9782,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",6.0,2.0,0.3575,0.4333,0.3107,0.9957,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",6.0,3.0,0.3362,0.4417,0.3321,0.9826,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",6.0,4.0,0.3045,0.3655,0.3321,0.9654,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",7.0,0.0,0.4275,0.4845,0.4333,0.9913,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",7.0,1.0,0.5419,0.6202,0.5714,0.9784,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",7.0,2.0,0.568,0.6083,0.5357,0.9956,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",7.0,3.0,0.5473,0.6321,0.5452,0.9957,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",7.0,4.0,0.5721,0.6167,0.5607,0.987,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",8.0,0.0,0.5731,0.6536,0.5905,0.9781,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",8.0,1.0,0.5415,0.5714,0.4988,0.9912,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",8.0,2.0,0.5623,0.6333,0.5643,1.0,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",8.0,3.0,0.6568,0.6833,0.6655,0.9957,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",8.0,4.0,0.5269,0.6214,0.5464,0.9957,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",9.0,0.0,0.4039,0.4821,0.4131,1.0,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",9.0,1.0,0.4647,0.5143,0.4798,0.987,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",9.0,2.0,0.4312,0.4679,0.4155,0.9956,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",9.0,3.0,0.4395,0.5607,0.4393,0.9957,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",9.0,4.0,0.467,0.5607,0.4714,0.9871,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",1.0,0.0,0.5502,0.6048,0.5714,0.77,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",1.0,1.0,0.526,0.6167,0.531,0.7743,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",1.0,2.0,0.5383,0.5917,0.506,0.6824,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",1.0,3.0,0.4808,0.5845,0.4583,0.7694,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",1.0,4.0,0.5622,0.6298,0.594,0.7703,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",2.0,0.0,0.427,0.5345,0.4262,0.6916,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",2.0,1.0,0.5314,0.5845,0.5012,0.6606,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",2.0,2.0,0.5456,0.6238,0.569,0.6781,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",2.0,3.0,0.4756,0.5417,0.4726,0.6665,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",2.0,4.0,0.4024,0.4548,0.4536,0.6977,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",3.0,0.0,0.6204,0.6738,0.6738,0.7133,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",3.0,1.0,0.647,0.725,0.6036,0.7786,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",3.0,2.0,0.5161,0.5881,0.4476,0.761,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",3.0,3.0,0.5887,0.6631,0.6464,0.7667,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",3.0,4.0,0.5835,0.6488,0.5452,0.7312,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",4.0,0.0,0.377,0.4476,0.4321,0.639,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",4.0,1.0,0.4331,0.4679,0.4667,0.674,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",4.0,2.0,0.3814,0.4476,0.3786,0.7044,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",4.0,3.0,0.3706,0.4726,0.3488,0.6233,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",4.0,4.0,0.3592,0.4357,0.3536,0.5501,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",5.0,0.0,0.2319,0.3512,0.2083,0.6351,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",5.0,1.0,0.2793,0.394,0.2595,0.5825,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",5.0,2.0,0.2812,0.3952,0.3071,0.5523,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",5.0,3.0,0.2746,0.3381,0.2643,0.5933,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",5.0,4.0,0.3039,0.3857,0.3143,0.6493,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",6.0,0.0,0.3399,0.4369,0.3298,0.6955,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",6.0,1.0,0.403,0.4643,0.3821,0.6521,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",6.0,2.0,0.3662,0.5262,0.4464,0.5828,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",6.0,3.0,0.3172,0.3869,0.3333,0.6541,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",6.0,4.0,0.4422,0.5095,0.4548,0.6755,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",7.0,0.0,0.5375,0.644,0.5369,0.8302,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",7.0,1.0,0.6263,0.6738,0.6214,0.8302,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",7.0,2.0,0.5888,0.6405,0.5893,0.8172,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",7.0,3.0,0.5951,0.6512,0.6,0.8266,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",7.0,4.0,0.5491,0.6155,0.5583,0.8398,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",8.0,0.0,0.6532,0.7238,0.6917,0.7697,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",8.0,1.0,0.642,0.7036,0.6881,0.8438,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",8.0,2.0,0.6377,0.6595,0.6369,0.7916,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",8.0,3.0,0.6913,0.7369,0.7012,0.7576,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",8.0,4.0,0.5602,0.6393,0.5845,0.8221,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",9.0,0.0,0.466,0.5679,0.4679,0.7092,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",9.0,1.0,0.3563,0.4345,0.3107,0.6999,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",9.0,2.0,0.4342,0.4738,0.3857,0.7387,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",9.0,3.0,0.3352,0.45,0.3167,0.6838,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 follow-up (a),"stamp_bandpow spatial:8 control, 5-fold CV, dropout 0",9.0,4.0,0.5828,0.6143,0.5952,0.7015,measured,"base, no mne (confirmed in run stderr)",output/experiment_c/mesae_finetune_c0_control_bandpow_cv/artifacts/train_20260919_082029.log
Experiment C,C0 baseline (clean),"stamp_induced flat weights, 5-fold CV, dropout 0.5",1.0,0.0,0.6206,0.6524,0.619,0.7867,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0_dropout05_5fold/artifacts/train_20260919_153852.log
Experiment C,C0 baseline (clean),"stamp_induced flat weights, 5-fold CV, dropout 0.5",1.0,1.0,0.4852,0.5595,0.4786,0.7653,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0_dropout05_5fold/artifacts/train_20260919_153852.log
Experiment C,C0 baseline (clean),"stamp_induced flat weights, 5-fold CV, dropout 0.5",1.0,2.0,0.5977,0.6857,0.6048,0.7951,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0_dropout05_5fold/artifacts/train_20260919_153852.log
Experiment C,C0 baseline (clean),"stamp_induced flat weights, 5-fold CV, dropout 0.5",1.0,3.0,0.5926,0.6321,0.5833,0.8052,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0_dropout05_5fold/artifacts/train_20260919_153852.log
Experiment C,C0 baseline (clean),"stamp_induced flat weights, 5-fold CV, dropout 0.5",1.0,4.0,0.5782,0.6643,0.594,0.7615,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0_dropout05_5fold/artifacts/train_20260919_153852.log
Experiment C,C0 baseline (clean),"stamp_induced flat weights, 5-fold CV, dropout 0.5",2.0,0.0,0.4636,0.5298,0.4429,0.7349,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0_dropout05_5fold/artifacts/train_20260919_153852.log
Experiment C,C0 baseline (clean),"stamp_induced flat weights, 5-fold CV, dropout 0.5",2.0,1.0,0.4785,0.5643,0.4988,0.6866,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0_dropout05_5fold/artifacts/train_20260919_153852.log
Experiment C,C0 baseline (clean),"stamp_induced flat weights, 5-fold CV, dropout 0.5",2.0,2.0,0.4002,0.4988,0.331,0.695,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0_dropout05_5fold/artifacts/train_20260919_153852.log
Experiment C,C0 baseline (clean),"stamp_induced flat weights, 5-fold CV, dropout 0.5",2.0,3.0,0.5567,0.6202,0.5667,0.7184,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0_dropout05_5fold/artifacts/train_20260919_153852.log
Experiment C,C0 baseline (clean),"stamp_induced flat weights, 5-fold CV, dropout 0.5",2.0,4.0,0.3671,0.45,0.3833,0.732,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0_dropout05_5fold/artifacts/train_20260919_153852.log
Experiment C,C0 baseline (clean),"stamp_induced flat weights, 5-fold CV, dropout 0.5",3.0,0.0,0.622,0.6762,0.6036,0.7913,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0_dropout05_5fold/artifacts/train_20260919_153852.log
Experiment C,C0 baseline (clean),"stamp_induced flat weights, 5-fold CV, dropout 0.5",3.0,1.0,0.5792,0.6524,0.5881,0.7571,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0_dropout05_5fold/artifacts/train_20260919_153852.log
Experiment C,C0 baseline (clean),"stamp_induced flat weights, 5-fold CV, dropout 0.5",3.0,2.0,0.5346,0.5857,0.5333,0.717,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0_dropout05_5fold/artifacts/train_20260919_153852.log
Experiment C,C0 baseline (clean),"stamp_induced flat weights, 5-fold CV, dropout 0.5",3.0,3.0,0.5269,0.6274,0.6107,0.723,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0_dropout05_5fold/artifacts/train_20260919_153852.log
